n,alpha,k,beta_min,beta_min_over_n,mertens_pred,gap,elapsed_sec
5000,0.30,12,2355,0.471,0.6019864021629681,-0.13098640216296809,0.124
5000,0.35,19,2095,0.419,0.5249110622493388,-0.10591106224933883,0.214
5000,0.40,30,1819,0.3638,0.45814536593707755,-0.09434536593707754,0.294
5000,0.45,46,1578,0.3156,0.3992538481088858,-0.08365384810888582,0.442
5000,0.50,70,1340,0.268,0.34657359027997264,-0.07857359027997263,0.627
5000,0.55,108,1073,0.2146,0.2989185003778102,-0.08431850037781019,0.91
5000,0.60,165,782,0.1564,0.25541281188299536,-0.09901281188299535,1.345
5000,0.65,253,497,0.0994,0.21539145804622709,-0.11599145804622708,2.198
5000,0.70,388,252,0.0504,0.1783374719693662,-0.1279374719693662,3.058
10000,0.30,15,5263,0.5263,0.6019864021629681,-0.07568640216296807,0.389
10000,0.35,25,4672,0.4672,0.5249110622493388,-0.05771106224933881,0.635
10000,0.40,39,4134,0.4134,0.45814536593707755,-0.044745365937077564,0.96
10000,0.45,63,3560,0.356,0.3992538481088858,-0.04325384810888583,1.405
10000,0.50,100,3046,0.3046,0.34657359027997264,-0.04197359027997266,2.129
10000,0.55,158,2527,0.2527,0.2989185003778102,-0.04621850037781022,3.105
10000,0.60,251,1945,0.1945,0.25541281188299536,-0.060912811882995355,4.51
10000,0.65,398,1319,0.1319,0.21539145804622709,-0.0834914580462271,6.895
10000,0.70,630,743,0.0743,0.1783374719693662,-0.10403747196936619,11.026
20000,0.30,19,11461,0.57305,0.6019864021629681,-0.02893640216296811,1.042
20000,0.35,32,10318,0.5159,0.5249110622493388,-0.009011062249338786,1.773
20000,0.40,52,9072,0.4536,0.45814536593707755,-0.00454536593707755,2.777
20000,0.45,86,7907,0.39535,0.3992538481088858,-0.0039038481088858323,4.319
20000,0.50,141,6856,0.3428,0.34657359027997264,-0.0037735902799726495,7.134
20000,0.55,232,5805,0.29025,0.2989185003778102,-0.008668500377810195,12.104
20000,0.60,380,4628,0.2314,0.25541281188299536,-0.024012811882995366,18.803
20000,0.65,624,3306,0.1653,0.21539145804622709,-0.05009145804622708,34.402
20000,0.70,1024,1948,0.0974,0.1783374719693662,-0.0809374719693662,51.322
50000,0.30,25,32342,0.64684,0.6019864021629681,0.04485359783703191,5.493
50000,0.35,44,29324,0.58648,0.5249110622493388,0.06156893775066119,9.917
50000,0.40,75,25896,0.51792,0.45814536593707755,0.059774634062922494,16.179
50000,0.45,130,22637,0.45274,0.3992538481088858,0.053486151891114164,27.932
50000,0.50,223,19645,0.3929,0.34657359027997264,0.046326409720027384,43.433
50000,0.55,384,16780,0.3356,0.2989185003778102,0.036681499622189806,64.427
50000,0.60,659,13848,0.27696,0.25541281188299536,0.021547188117004623,116.525
50000,0.65,1133,10474,0.20948,0.21539145804622709,-0.005911458046227086,181.218
50000,0.70,1946,6687,0.13374,0.1783374719693662,-0.0445974719693662,284.969
