n,L_n,first_move,elapsed_sec
2,1,2,0.0
3,2,2,0.0
4,2,2,0.0
5,3,2,0.0
6,3,2,0.0
7,4,2,0.0
8,4,2,0.0
9,5,6,0.0
10,5,6,0.0
11,6,6,0.0
12,6,6,0.0
13,7,6,0.0
14,7,6,0.0
15,7,6,0.0
16,7,6,0.0
17,8,6,0.001
18,8,6,0.001
19,9,6,0.002
20,9,6,0.002
21,10,6,0.003
22,10,6,0.004
23,11,6,0.008
24,11,6,0.008
25,11,6,0.01
26,11,6,0.013
27,12,12,0.021
28,12,12,0.023
29,13,12,0.04
30,13,12,0.057
31,14,12,0.101
32,14,12,0.121
33,14,12,0.257
34,14,12,0.326
35,15,30,0.524
36,15,30,0.512
37,16,30,0.874
38,16,30,1.069
39,17,30,2.591
40,17,30,2.826
41,18,30,4.877
42,18,30,6.332
43,19,30,11.106
44,19,30,11.596
45,20,30,19.642
46,20,30,24.442
47,21,30,42.363
48,21,30,53.988
