n,shortener,prolonger,seed,L,L_over_n_log_n
1000,S_star,P_block_product,0,271,1.872001680604
1000,S_star,P_antiStar,0,272,1.878909435883
1000,S_star,P_harm,0,293,2.023972296742
1000,S_star,P_random,0,174,1.201949418543
1000,S_star,P_random,1,185,1.277934726612
1000,S_star,P_random,2,184,1.271026971333
1000,S_star,P_random,3,207,1.429905342749
1000,S_star,P_random,4,200,1.381551055796
1000,S_adaptive_prime,P_block_product,0,223,1.540429427213
1000,S_adaptive_prime,P_antiStar,0,219,1.512798406097
1000,S_adaptive_prime,P_harm,0,253,1.747662085582
1000,S_adaptive_prime,P_random,0,174,1.201949418543
1000,S_adaptive_prime,P_random,1,185,1.277934726612
1000,S_adaptive_prime,P_random,2,191,1.319381258286
1000,S_adaptive_prime,P_random,3,209,1.443720853307
1000,S_adaptive_prime,P_random,4,200,1.381551055796
1000,S_harm,P_block_product,0,406,2.804548643267
1000,S_harm,P_antiStar,0,411,2.839087419662
1000,S_harm,P_harm,0,415,2.866718440778
1000,S_harm,P_random,0,429,2.963427014683
1000,S_harm,P_random,1,445,3.073951099147
1000,S_harm,P_random,2,440,3.039412322752
1000,S_harm,P_random,3,433,2.991058035799
1000,S_harm,P_random,4,423,2.921980483009
1000,S_carrier_snipe,P_block_product,0,218,1.505890650818
1000,S_carrier_snipe,P_antiStar,0,233,1.609506980003
1000,S_carrier_snipe,P_harm,0,254,1.754569840861
1000,S_carrier_snipe,P_random,0,208,1.436813098028
1000,S_carrier_snipe,P_random,1,214,1.478259629702
1000,S_carrier_snipe,P_random,2,243,1.678584532793
1000,S_carrier_snipe,P_random,3,250,1.726938819746
1000,S_carrier_snipe,P_random,4,227,1.568060448329
1000,S_topdown,P_block_product,0,237,1.637138001119
1000,S_topdown,P_antiStar,0,251,1.733846575025
1000,S_topdown,P_harm,0,330,2.279559242064
1000,S_topdown,P_random,0,336,2.321005773738
1000,S_topdown,P_random,1,339,2.341729039575
1000,S_topdown,P_random,2,339,2.341729039575
1000,S_topdown,P_random,3,349,2.410806592365
1000,S_topdown,P_random,4,331,2.286466997343
5000,S_star,P_block_product,0,1149,1.957250995387
5000,S_star,P_antiStar,0,1156,1.969175065855
5000,S_star,P_harm,0,1321,2.250242441172
5000,S_star,P_random,0,729,1.241806767308
5000,S_star,P_random,1,726,1.236696451394
5000,S_star,P_random,2,812,1.383192174286
5000,S_star,P_random,3,721,1.228179258202
5000,S_star,P_random,4,838,1.427481578881
5000,S_adaptive_prime,P_block_product,0,911,1.551832599476
5000,S_adaptive_prime,P_antiStar,0,930,1.584197933603
5000,S_adaptive_prime,P_harm,0,1073,1.827789658878
5000,S_adaptive_prime,P_random,0,733,1.248620521862
5000,S_adaptive_prime,P_random,1,729,1.241806767308
5000,S_adaptive_prime,P_random,2,841,1.432591894796
5000,S_adaptive_prime,P_random,3,727,1.238399890032
5000,S_adaptive_prime,P_random,4,853,1.453033158456
5000,S_harm,P_block_product,0,1992,3.393249767460
5000,S_harm,P_antiStar,0,2012,3.427318540226
5000,S_harm,P_harm,0,1981,3.374511942439
5000,S_harm,P_random,0,2161,3.681130897330
5000,S_harm,P_random,1,2202,3.750971881500
5000,S_harm,P_random,2,2201,3.749268442861
5000,S_harm,P_random,3,2136,3.638544931373
5000,S_harm,P_random,4,2201,3.749268442861
5000,S_carrier_snipe,P_block_product,0,868,1.478584738030
5000,S_carrier_snipe,P_antiStar,0,981,1.671073304156
5000,S_carrier_snipe,P_harm,0,1094,1.863561870282
5000,S_carrier_snipe,P_random,0,996,1.696624883730
5000,S_carrier_snipe,P_random,1,991,1.688107690539
5000,S_carrier_snipe,P_random,2,964,1.642114847305
5000,S_carrier_snipe,P_random,3,894,1.522874142625
5000,S_carrier_snipe,P_random,4,978,1.665962988241
5000,S_topdown,P_block_product,0,1164,1.982802574962
5000,S_topdown,P_antiStar,0,1154,1.965768188579
5000,S_topdown,P_harm,0,1513,2.577302659723
5000,S_topdown,P_random,0,1568,2.670991784828
5000,S_topdown,P_random,1,1667,2.839632210018
5000,S_topdown,P_random,2,1587,2.703357118956
5000,S_topdown,P_random,3,1638,2.790232489508
5000,S_topdown,P_random,4,1644,2.800453121338
20000,S_star,P_block_product,0,4189,2.074285467879
20000,S_star,P_antiStar,0,4247,2.103005581781
20000,S_star,P_harm,0,4879,2.415955788441
20000,S_star,P_random,0,2422,1.199312342612
20000,S_star,P_random,1,2576,1.275569196767
20000,S_star,P_random,2,2600,1.287453381830
20000,S_star,P_random,3,2461,1.218624143340
20000,S_star,P_random,4,2341,1.159203218024
20000,S_adaptive_prime,P_block_product,0,3033,1.501863887342
20000,S_adaptive_prime,P_antiStar,0,3104,1.537021268154
20000,S_adaptive_prime,P_harm,0,3865,1.913848969528
20000,S_adaptive_prime,P_random,0,2446,1.211196527675
20000,S_adaptive_prime,P_random,1,2645,1.309736228823
20000,S_adaptive_prime,P_random,2,2667,1.320630065131
20000,S_adaptive_prime,P_random,3,2485,1.230508328403
20000,S_adaptive_prime,P_random,4,2345,1.161183915535
20000,S_harm,P_block_product,0,7952,3.937626650888
20000,S_harm,P_antiStar,0,7984,3.953472230972
20000,S_harm,P_harm,0,7948,3.935645953378
20000,S_harm,P_random,0,8793,4.354068302473
20000,S_harm,P_random,1,8620,4.268403135143
20000,S_harm,P_random,2,8777,4.346145512430
20000,S_harm,P_random,3,8631,4.273850053297
20000,S_harm,P_random,4,8629,4.272859704542
20000,S_carrier_snipe,P_block_product,0,3074,1.522166036825
20000,S_carrier_snipe,P_antiStar,0,3154,1.561779987035
20000,S_carrier_snipe,P_harm,0,3894,1.928209026479
20000,S_carrier_snipe,P_random,0,3139,1.554352371371
20000,S_carrier_snipe,P_random,1,3199,1.584062834028
20000,S_carrier_snipe,P_random,2,3315,1.641503061833
20000,S_carrier_snipe,P_random,3,3195,1.582082136518
20000,S_carrier_snipe,P_random,4,3126,1.547915104461
20000,S_topdown,P_block_product,0,3930,1.946035304073
20000,S_topdown,P_antiStar,0,3890,1.926228328968
20000,S_topdown,P_harm,0,5619,2.782384827885
20000,S_topdown,P_random,0,6224,3.081965326349
20000,S_topdown,P_random,1,6185,3.062653525622
20000,S_topdown,P_random,2,6138,3.039380329873
20000,S_topdown,P_random,3,6192,3.066119746265
20000,S_topdown,P_random,4,6315,3.127026194713
100000,S_star,P_block_product,0,17045,1.962378145504
100000,S_star,P_antiStar,0,18342,2.111700788785
100000,S_star,P_harm,0,22758,2.620111577318
100000,S_star,P_random,0,10584,1.218528031212
100000,S_star,P_random,1,11087,1.276438046301
100000,S_star,P_random,2,10544,1.213922861026
100000,S_star,P_random,3,10125,1.165683703328
100000,S_star,P_random,4,10151,1.168677063949
100000,S_adaptive_prime,P_block_product,0,11965,1.377521531884
100000,S_adaptive_prime,P_antiStar,0,12017,1.383508253125
100000,S_adaptive_prime,P_harm,0,17371,1.999910282520
100000,S_adaptive_prime,P_random,0,10631,1.223939106181
100000,S_adaptive_prime,P_random,1,11259,1.296240278101
100000,S_adaptive_prime,P_random,2,10667,1.228083759348
100000,S_adaptive_prime,P_random,3,10184,1.172476329353
100000,S_adaptive_prime,P_random,4,10203,1.174663785191
100000,S_harm,P_block_product,0,39421,4.538510347546
100000,S_harm,P_antiStar,0,39523,4.550253531520
100000,S_harm,P_harm,0,39334,4.528494102391
100000,S_harm,P_random,0,43000,4.950557949937
100000,S_harm,P_random,1,43338,4.989471638009
100000,S_harm,P_random,2,42907,4.939850929255
100000,S_harm,P_random,3,43200,4.973583800867
100000,S_harm,P_random,4,43186,4.971971991302
100000,S_carrier_snipe,P_block_product,0,12011,1.382817477598
100000,S_carrier_snipe,P_antiStar,0,12099,1.392948852007
100000,S_carrier_snipe,P_harm,0,17591,2.025238718543
100000,S_carrier_snipe,P_random,0,12867,1.481368119578
100000,S_carrier_snipe,P_random,1,13023,1.499328283303
100000,S_carrier_snipe,P_random,2,13449,1.548373345784
100000,S_carrier_snipe,P_random,3,13169,1.516137154482
100000,S_carrier_snipe,P_random,4,13497,1.553899550007
100000,S_topdown,P_block_product,0,16799,1.934056348860
100000,S_topdown,P_antiStar,0,16626,1.914138987806
100000,S_topdown,P_harm,0,25838,2.974709681639
100000,S_topdown,P_random,0,30330,3.491870293525
100000,S_topdown,P_random,1,30600,3.522955192281
100000,S_topdown,P_random,2,30464,3.507297613649
100000,S_topdown,P_random,3,30197,3.476558102657
100000,S_topdown,P_random,4,30412,3.501310892407
