n,shortener,L,L_log_n_over_n,L_log_n_over_n_loglog_n,phase1_moves,phase2_moves,phase3_moves,phase4_moves,B_blocked_size,Q_blocked_size,shortener_large_primes_preempted,shortener_small_primes_preempted
1000,S_race,174,1.2019494185428918,0.6219194854852679,2,1,14,70,2,14,16,0
1000,S_smallest_legal_prime,169,1.1674106421479813,0.6040482359023579,1,0,30,54,1,30,0,1
1000,S_smallest_legal,169,1.1674106421479813,0.6040482359023579,1,0,30,54,1,30,0,1
3000,S_race,450,1.200955135147537,0.5773164482719231,2,1,49,173,2,49,52,0
3000,S_smallest_legal_prime,431,1.1502481405524185,0.5529408649004418,1,0,101,114,1,101,0,1
3000,S_smallest_legal,431,1.1502481405524185,0.5529408649004418,1,0,101,114,1,101,0,1
10000,S_race,1308,1.2047125206544849,0.5425834238452631,2,1,171,480,2,171,173,0
10000,S_smallest_legal_prime,1230,1.1328718657530705,0.5102275315976099,1,0,333,281,1,333,11,1
10000,S_smallest_legal,1230,1.1328718657530705,0.5102275315976099,1,0,334,280,1,334,10,1
30000,S_race,3555,1.2216108902863487,0.5236194753954041,3,3,520,1252,3,520,525,0
30000,S_smallest_legal_prime,3327,1.143262850065452,0.49003712929409554,2,1,873,788,2,873,172,1
30000,S_smallest_legal,3327,1.143262850065452,0.49003712929409554,2,1,878,783,2,878,167,1
100000,S_race,10803,1.2437413379807338,0.5090061084925873,3,3,1705,3691,3,1705,1710,0
100000,S_smallest_legal_prime,10144,1.16787115916658,0.47795593488371807,2,1,2563,2506,2,2563,852,1
100000,S_smallest_legal,10144,1.16787115916658,0.47795593488371807,2,1,2568,2501,2,2568,847,1
300000,S_race,30253,1.2717895055360688,0.5017688942246059,4,6,4976,10141,4,4976,4986,0
300000,S_smallest_legal_prime,28176,1.1844756258217126,0.4673202777798068,2,1,6920,7165,2,6920,3042,2
300000,S_smallest_legal,28782,1.2099509320840622,0.4773712462754969,3,2,6929,7457,3,6929,3033,1
1000000,S_race,94087,1.2998599418671846,0.4950353966363621,4,6,15968,31066,4,15968,15978,0
1000000,S_smallest_legal_prime,86898,1.2005402364659794,0.45721072939839286,2,1,20765,22681,2,20765,11181,2
1000000,S_smallest_legal,90569,1.2512569757242664,0.47652556504042726,3,2,20774,24506,3,20774,11172,1
