n,h,shortener_strategy,L_realized,P_targets,S_kills,c_h_empirical,c_h_theoretical,looseness_ratio,|T_h|
10000,1,smallest-legal-prime,478,126,106,0.052267210553901496,0.125,0.41813768443121196,891
10000,1,max-degree-divisor,478,126,106,0.052267210553901496,0.125,0.41813768443121196,891
10000,1,max-degree-any,478,116,116,0.04811901924009979,0.125,0.38495215392079835,891
10000,2,smallest-legal-prime,88,44,11,0.008220430311601459,0.015625,0.5261075399424934,121
10000,2,max-degree-divisor,88,28,27,0.005231182925564565,0.015625,0.33479570723613217,121
10000,2,max-degree-any,88,28,27,0.005231182925564565,0.015625,0.33479570723613217,121
100000,1,smallest-legal-prime,3603,1736,1615,0.08179529800454796,0.125,0.6543623840363837,8249
100000,1,max-degree-divisor,3603,1714,1637,0.08075872164734747,0.125,0.6460697731787798,8249
100000,1,max-degree-any,3603,1676,1675,0.07896827157581934,0.125,0.6317461726065547,8249
100000,2,smallest-legal-prime,792,392,279,0.007558882776277272,0.015625,0.4837684976817454,1692
100000,2,max-degree-divisor,792,336,335,0.006479042379666233,0.015625,0.41465871229863893,1692
100000,2,max-degree-any,792,336,335,0.006479042379666233,0.015625,0.41465871229863893,1692
1000000,1,smallest-legal-prime,29484,7504,6564,0.0394820285093505,0.125,0.315856228074804,76613
1000000,1,max-degree-divisor,29485,7504,6565,0.0394820285093505,0.125,0.315856228074804,76613
1000000,2,smallest-legal-prime,6410,3084,2819,0.006179604704020952,0.015625,0.3954947010573409,18478
1000000,2,max-degree-divisor,6412,2792,2791,0.005594505944755674,0.015625,0.35804838046436316,18478
1000000,3,smallest-legal-prime,541,0,0,0.0,1.0172526041666666e-05,0.0,538
1000000,3,max-degree-divisor,541,0,0,0.0,1.0172526041666666e-05,0.0,538
