n,h,|T_h|,|T_h|_Mertens_estimate,H,h_star,window_mass_c0,window_mass_c1,window_mass_c2,window_mass_c3
100000,1,8249,8327.181521763136,1.9174044038667268,2,1692,9941,9941,9941
100000,2,1692,7983.287260813134,1.9174044038667268,2,1692,9941,9941,9941
100000,3,0,5102.396717072081,1.9174044038667268,2,1692,9941,9941,9941
100000,4,0,2445.839483897284,1.9174044038667268,2,1692,9941,9941,9941
1000000,1,76613,75882.4490793057,2.0967095528386688,2,18478,95629,95629,95629
1000000,2,18478,79551.72793868707,2.0967095528386688,2,18478,95629,95629,95629
1000000,3,538,55598.95597128933,2.0967095528386688,2,18478,95629,95629,95629
1000000,4,0,29143.715528214725,2.0967095528386688,2,18478,95629,95629,95629
1000000,5,0,12221.18135064409,2.0967095528386688,2,18478,95629,95629,95629
10000000,1,707520,696319.2211713585,2.2446679620881516,2,215005,933027,933027,933027
10000000,2,215005,781502.7235747611,2.2446679620881516,2,215005,933027,933027,933027
10000000,3,10502,584738.0419642996,2.2446679620881516,2,215005,933027,933027,933027
10000000,4,0,328135.6872528551,2.2446679620881516,2,215005,933027,933027,933027
10000000,5,0,147311.13287885228,2.2446679620881516,2,215005,933027,933027,933027
