N,cascade_closure_to_scored_ratio,cascade_matches_T_star,cascade_minus_prior_sigma_max,cascade_over_prior_sigma_max,exact_T_star,exact_best_vs_cascade,h,prior_sigma_observed_max,sigma_cascade,sigma_minus_best_vs_cascade,sigma_over_tau_exact,sigma_over_tau_lower,star_edges,tau_exact,tau_lower
4,0.3333333333333333,True,,,1,1,3,,1,0,0.5,0.5,3,2,2.0
5,0.6666666666666666,True,,,3,3,3,,3,0,0.75,0.8999999999999999,6,4,3.3333333333333335
6,1.0,False,,,5,4,3,,4,0,0.6666666666666666,0.8,10,6,5.0
7,1.3333333333333333,,,,,6,3,,7,1,0.7777777777777778,1.0,15,9,7.0
8,1.6666666666666667,,,,,,3,,9,,0.75,0.9642857142857142,21,12,9.333333333333334
9,2.0,,,,,,3,,13,,0.8125,1.0833333333333333,28,16,12.0
10,2.3333333333333335,,,,,,3,,17,,0.85,1.1333333333333333,36,20,15.0
5,0.25,True,,,2,2,4,,2,0,0.6666666666666666,0.8,4,3,2.5
6,0.5,True,,,4,4,4,,4,0,0.6666666666666666,0.8,10,6,5.0
7,0.75,,,,,,4,,8,,0.6666666666666666,0.9142857142857143,20,12,8.75
8,1.0,,,,,,4,,14,,0.7,1.0,35,20,14.0
9,1.25,,,,,,4,,23,,0.7666666666666667,1.0952380952380953,56,30,21.0
10,1.5,,,,,,4,,34,,,1.1333333333333333,84,,30.0
6,0.2,True,,,2,2,5,,2,0,0.6666666666666666,0.6666666666666666,5,3,3.0
7,0.4,,0,1.0,,,5,6,6,,0.8571428571428571,0.8571428571428571,15,7,7.0
8,0.6,,-1,0.9285714285714286,,,5,14,13,,0.9285714285714286,0.9285714285714286,35,14,14.0
9,0.8,,-2,0.9259259259259259,,,5,27,25,,0.8333333333333334,0.9920634920634921,70,30,25.2
10,1.0,,-2,0.9574468085106383,,,5,47,45,,,1.0714285714285714,126,,42.0
7,0.16666666666666666,,0,1.0,,,6,2,2,,0.5,0.5714285714285714,6,4,3.5
8,0.3333333333333333,,0,1.0,,,6,8,8,,0.7272727272727273,0.8571428571428571,21,11,9.333333333333334
9,0.5,,-2,0.9047619047619048,,,6,21,19,,0.76,0.9047619047619048,56,25,21.0
8,0.14285714285714285,,0,1.0,,,7,3,3,,0.75,0.75,7,4,4.0
9,0.2857142857142857,,0,1.0,,,7,10,10,,0.8333333333333334,0.8333333333333334,28,12,12.0
10,0.42857142857142855,,-2,0.9285714285714286,,,7,28,26,,0.8666666666666667,0.8666666666666667,84,30,30.0
