N,edge_count,h,highest_degree_vertex__max,highest_degree_vertex__mean,highest_degree_vertex__min,lookahead_one_sigma__max,lookahead_one_sigma__mean,lookahead_one_sigma__min,max_claimed_overlap__max,max_claimed_overlap__mean,max_claimed_overlap__min,random_degree_weighted__max,random_degree_weighted__mean,random_degree_weighted__min,random_uniform__max,random_uniform__mean,random_uniform__min,sigma_observed_max,sigma_observed_min,sigma_over_log_upper_max,sigma_over_tau_exact_max,sigma_over_tau_exact_min,sigma_over_tau_lower_max,sigma_over_tau_lower_min,smallest_neighborhood__max,smallest_neighborhood__mean,smallest_neighborhood__min,tau_exact,tau_log_upper,tau_lower,vertex_count
7,21,5,6,6.0,6,6,6.0,6,6,6.0,6,6,5.9375,5,6,5.875,5,6,6,0.5325728010510958,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,6,6.0,6,7,11.266065387038703,7.0,35
8,56,5,13,13.0,13,13,13.0,13,13,13.0,13,14,12.875,12,14,12.875,12,14,13,0.6213349345596119,1.0,0.9285714285714286,1.0,0.9285714285714286,13,13.0,13,14,22.532130774077405,14.0,70
9,126,5,27,27.0,27,26,26.0,26,25,25.0,25,27,25.9375,24,27,25.5625,24,27,25,0.6657160013138699,0.9,0.8333333333333334,1.0714285714285714,0.9920634920634921,25,25.0,25,30,40.557835393339325,25.2,126
10,252,5,45,45.0,45,47,47.0,47,45,45.0,45,47,45.75,43,47,45.875,44,47,45,0.6953033791500419,,,1.119047619047619,1.0714285714285714,45,45.0,45,,67.5963923222322,42.0,210
7,7,6,2,2.0,2,2,2.0,2,2,2.0,2,2,2.0,2,2,2.0,2,2,2,0.31892035802928415,0.5,0.5,0.5714285714285714,0.5714285714285714,2,2.0,2,4,6.271158142298193,3.5,21
8,28,6,8,8.0,8,8,8.0,8,8,8.0,8,8,7.625,7,8,7.75,7,8,8,0.47838053704392625,0.7272727272727273,0.7272727272727273,0.8571428571428571,0.8571428571428571,8,8.0,8,11,16.723088379461846,9.333333333333334,56
9,84,6,20,20.0,20,19,19.0,19,19,19.0,19,20,19.25,18,21,19.0625,18,21,19,0.5581106265512473,0.84,0.76,1.0,0.9047619047619048,19,19.0,19,25,37.62694885378915,21.0,126
8,8,7,3,3.0,3,3,3.0,3,3,3.0,3,3,3.0,3,3,3.0,3,3,3,0.38542375677731305,0.75,0.75,0.75,0.75,3,3.0,3,4,7.783640596221253,4.0,28
9,36,7,10,10.0,10,10,10.0,10,10,10.0,10,10,9.8125,9,10,9.8125,9,10,10,0.42824861864145897,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,10,10.0,10,12,23.350921788663758,12.0,84
10,120,7,28,28.0,28,27,27.0,27,26,26.0,26,28,27.1875,26,28,27.1875,26,28,26,0.479638452878434,0.9333333333333333,0.8666666666666667,0.9333333333333333,0.8666666666666667,27,27.0,27,30,58.3773044716594,30.0,210
